tag,name,date,start_timestamp,stop_timestamp,seconds,sport_name,distance,path
4,polar_44158042_2021-03-09-11-22-03_Running.csv,2021-03-09,1615260123,1615260125,2,Running,0.00,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.09/4/polar_44158042_2021-03-09-11-22-03_Running.csv
3,polar_50729858_2021-03-09-13-56-35_Running.csv,2021-03-09,1615269395,1615270872,1477,Running,0.00,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.09/3/polar_50729858_2021-03-09-13-56-35_Running.csv
4,polar_44158042_2021-03-09-13-56-37_Running.csv,2021-03-09,1615269397,1615270939,1542,Running,3.47,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.09/4/polar_44158042_2021-03-09-13-56-37_Running.csv
1,polar_51174102_2021-03-09-13-56-39_Running.csv,2021-03-09,1615269399,1615271176,1777,Running,0.00,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.09/1/polar_51174102_2021-03-09-13-56-39_Running.csv
2,polar_51174186_2021-03-09-14-02-39_Running.csv,2021-03-09,1615269759,1615270881,1122,Running,2.82,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.09/2/polar_51174186_2021-03-09-14-02-39_Running.csv
5,polar_51174246_2021-03-09-14-53-03_Other indoor.csv,2021-03-09,1615272783,1615273193,410,Other indoor,,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.09/5/polar_51174246_2021-03-09-14-53-03_Other indoor.csv
5,polar_51174246_2021-03-09-15-00-21_Badminton.csv,2021-03-09,1615273221,1615273869,648,Badminton,,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.09/5/polar_51174246_2021-03-09-15-00-21_Badminton.csv
5,polar_51174246_2021-03-09-15-16-05_Walking.csv,2021-03-09,1615274165,1615274923,758,Walking,1.13,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.09/5/polar_51174246_2021-03-09-15-16-05_Walking.csv
5,polar_51174246_2021-03-09-15-31-13_Nordic walking.csv,2021-03-09,1615275073,1615275848,775,Nordic walking,1.11,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.09/5/polar_51174246_2021-03-09-15-31-13_Nordic walking.csv
5,polar_51174246_2021-03-09-15-45-30_Nordic walking.csv,2021-03-09,1615275930,1615276696,766,Nordic walking,1.11,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.09/5/polar_51174246_2021-03-09-15-45-30_Nordic walking.csv
5,polar_51174246_2021-03-09-16-08-59_Nordic walking.csv,2021-03-09,1615277339,1615278135,796,Nordic walking,1.14,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.09/5/polar_51174246_2021-03-09-16-08-59_Nordic walking.csv
5,polar_51174246_2021-03-09-16-26-57_Cycling.csv,2021-03-09,1615278417,1615278771,354,Cycling,1.29,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.09/5/polar_51174246_2021-03-09-16-26-57_Cycling.csv
5,polar_51174246_2021-03-09-16-36-45_Running.csv,2021-03-09,1615279005,1615279391,386,Running,0.97,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.09/5/polar_51174246_2021-03-09-16-36-45_Running.csv
4,polar_44158042_2021-03-10-15-24-19_Walking.csv,2021-03-10,1615361059,1615362085,1026,Walking,0.83,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/4/polar_44158042_2021-03-10-15-24-19_Walking.csv
7,polar_51174222_2021-03-10-15-24-31_Walking.csv,2021-03-10,1615361071,1615362119,1048,Walking,1.06,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/7/polar_51174222_2021-03-10-15-24-31_Walking.csv
1,polar_51174102_2021-03-10-15-24-39_Walking.csv,2021-03-10,1615361079,1615362115,1036,Walking,0.04,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/1/polar_51174102_2021-03-10-15-24-39_Walking.csv
3,polar_50729858_2021-03-10-15-24-39_Walking.csv,2021-03-10,1615361079,1615362115,1036,Walking,0.84,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/3/polar_50729858_2021-03-10-15-24-39_Walking.csv
6,polar_51174262_2021-03-10-15-30-17_Running.csv,2021-03-10,1615361417,1615362330,913,Running,1.15,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/6/polar_51174262_2021-03-10-15-30-17_Running.csv
3,polar_50729858_2021-03-10-15-42-50_Walking.csv,2021-03-10,1615362170,1615363225,1055,Walking,1.07,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/3/polar_50729858_2021-03-10-15-42-50_Walking.csv
4,polar_44158042_2021-03-10-15-42-52_Walking.csv,2021-03-10,1615362172,1615363201,1029,Walking,1.05,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/4/polar_44158042_2021-03-10-15-42-52_Walking.csv
7,polar_51174222_2021-03-10-15-43-03_Walking.csv,2021-03-10,1615362183,1615363199,1016,Walking,1.24,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/7/polar_51174222_2021-03-10-15-43-03_Walking.csv
1,polar_51174102_2021-03-10-15-44-01_Walking.csv,2021-03-10,1615362241,1615363258,1017,Walking,0.00,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/1/polar_51174102_2021-03-10-15-44-01_Walking.csv
6,polar_51174262_2021-03-10-15-46-30_Running.csv,2021-03-10,1615362390,1615363319,929,Running,0.92,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/6/polar_51174262_2021-03-10-15-46-30_Running.csv
5,polar_51174246_2021-03-10-16-00-02_Walking.csv,2021-03-10,1615363202,1615364273,1071,Walking,1.25,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/5/polar_51174246_2021-03-10-16-00-02_Walking.csv
4,polar_44158042_2021-03-10-16-00-05_Walking.csv,2021-03-10,1615363205,1615364281,1076,Walking,0.98,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/4/polar_44158042_2021-03-10-16-00-05_Walking.csv
7,polar_51174222_2021-03-10-16-02-56_Walking.csv,2021-03-10,1615363376,1615364298,922,Walking,1.14,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/7/polar_51174222_2021-03-10-16-02-56_Walking.csv
1,polar_51174102_2021-03-10-16-02-58_Walking.csv,2021-03-10,1615363378,1615364307,929,Walking,0.00,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/1/polar_51174102_2021-03-10-16-02-58_Walking.csv
3,polar_50729858_2021-03-10-16-03-07_Walking.csv,2021-03-10,1615363387,1615364308,921,Walking,0.94,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/3/polar_50729858_2021-03-10-16-03-07_Walking.csv
6,polar_51174262_2021-03-10-16-03-17_Running.csv,2021-03-10,1615363397,1615364339,942,Running,1.11,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/6/polar_51174262_2021-03-10-16-03-17_Running.csv
1,polar_51174102_2021-03-10-16-20-23_Walking.csv,2021-03-10,1615364423,1615365355,932,Walking,0.00,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/1/polar_51174102_2021-03-10-16-20-23_Walking.csv
3,polar_50729858_2021-03-10-16-20-34_Walking.csv,2021-03-10,1615364434,1615365354,920,Walking,1.02,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/3/polar_50729858_2021-03-10-16-20-34_Walking.csv
7,polar_51174222_2021-03-10-16-20-37_Walking.csv,2021-03-10,1615364437,1615365355,918,Walking,1.12,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/7/polar_51174222_2021-03-10-16-20-37_Walking.csv
4,polar_44158042_2021-03-10-16-21-10_Walking.csv,2021-03-10,1615364470,1615365374,904,Walking,0.99,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/4/polar_44158042_2021-03-10-16-21-10_Walking.csv
1,polar_51174102_2021-03-10-20-59-42_Walking.csv,2021-03-10,1615381182,1615382219,1037,Walking,1.35,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/1/polar_51174102_2021-03-10-20-59-42_Walking.csv
3,polar_50729858_2021-03-10-21-01-12_Walking.csv,2021-03-10,1615381272,1615382263,991,Walking,1.33,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/3/polar_50729858_2021-03-10-21-01-12_Walking.csv
2,polar_51174186_2021-03-10-21-01-22_Walking.csv,2021-03-10,1615381282,1615382229,947,Walking,0.98,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/2/polar_51174186_2021-03-10-21-01-22_Walking.csv
4,polar_44158042_2021-03-10-21-01-50_Walking.csv,2021-03-10,1615381310,1615382223,913,Walking,0.00,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/4/polar_44158042_2021-03-10-21-01-50_Walking.csv
5,polar_51174246_2021-03-10-21-01-59_Walking.csv,2021-03-10,1615381319,1615382221,902,Walking,1.12,/home/mi/data/new-sensor-bucket/libai/heartrate/polar_cleaned/2021.03.10/5/polar_51174246_2021-03-10-21-01-59_Walking.csv
